leader.1,controlfield.1,controlfield.2,controlfield.3,controlfield.4,datafield.1,datafield.2,datafield.3,datafield.4,datafield.5,datafield.6,datafield.7,datafield.8,datafield.9,datafield.10,datafield.11,datafield.12,datafield.13,datafield.14,datafield.15,datafield.16,datafield.17,datafield.18,datafield.19
00565nx  a22001691i 4500,22317914450001488,9980006270101488,20150204144733.0,1103162u    8   4001uulat0000000,"
      DIGI_0033_0093
    ","
      K129822
      Manuscriptacq
      201103
    ","
      Serjacob J. B.
      Handwritten
    ","
      BIBC
      BRES
      Ms. 293
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Serjacob J. B.
      Ex libris J: B: Serjacob Angiensis Philosophi Pædogogii Porcensis 1795
      Handwritten
    ","
      BIBC
      CaaCDPorcus29/III
    ","
      F. 109 : engraving is missing
    ","
      19800110
    ",,,,,,,,,
00433nx  a22001451i 4500,22317445440001488,9977468650101488,1011042u    8   4001uulat0000000,20141218105404.0,"
      DIGI_0033_0033
    ","
      PK423
      201011
    ","
      Geerts, T.
      Handwritten
    ","
      BIBC
      BRES
      Ms. 233
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Geerts, T.
      ex libris T. Geerts Lummensis anno 1770
      Handwritten
    ","
      BIBC
      CaaCDCastrum7
    ",,,,,,,,,,,
00589nu  a2200181un 4500,22292055280001488,9922906810101488,20150209161343.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0121
    ","
      201104
    ","
      Bibliotheek Instituut St. Louis Oudenbosch
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 321
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bibliotheek Instituut St. Louis Oudenbosch
      Bibliotheek ""Inst. St. Louis"" Oudenbosch
      Ownership stamp
    ","
      BIBC
      CaaCD37
    ","
      Folios are missing at the beginning
    ",,,,,,,,,,
00431nx  a22001451i 4500,22317750120001488,9977675380101488,20150122133744.0,1012202u    8   4001uulat0000000,"
      DIGI_0033_0047
    ","
      201012
    ","
      Boeynaems, P.
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 247
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Boeynaems, P.
      ex libris Dr. Med. P. Boeynaems
      Ownership stamp
    ","
      BIBC
      CaaCDFalco10
    ",,,,,,,,,,,
00717nx  a22002051i 4500,22317219610001488,9977348420101488,1010132u    8   4001uulat0000000,20150115092430.0,"
      DIGI_0033_0012
    ","
      De Vocht, Henri
      Manuscriptdon
      201010
    ","
      Joannes Bernardus Souppart
      Handwritten
    ","
      Henry De Vocht
      Handwritten
    ","
      BIBC
      BRES
      Ms. 212
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Joannes Bernardus Souppart
      Hic liber pertinet ad Joannem Bernardum Souppart philosophiae operam da[...]me anno 1750
      Handwritten
    ","
      Henry De Vocht
      Handwritten
    ","
      BIBC
      CaaCDLilium8
    ","
      BIBC
      C71
    ","
      Bandcover in poor condition
    ","
      1962
    ",,,,,,
00429nx  a22001451i 4500,22317589830001488,9977620970101488,20150122133741.0,1012082u    8   4001uulat0000000,"
      DIGI_0033_0043
    ","
      201012
    ","
      BIBC
      BRES
      Ms. 243
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDFalco6
    ","
      F. 141, 146 : are incomplete
    ","
      Bandcover in poor condition, 'very poor' restoration in the past
    ",,,,,,,,,,,
00351nx  a22001331i 4500,22317651570001488,9977786480101488,1101192u    8   4001uulat0000000,20150127094544.0,"
      DIGI_0033_0056
    ","
      PK252
      Manuscriptacq
      201101
    ","
      BIBC
      BRES
      Ms. 256
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus2
    ","
      19920502
    ",,,,,,,,,,,,
00373nx  a22001331i 4500,22317285120001488,9977426430101488,1010252u    8   4001uulat0000000,20150121104531.0,"
      DIGI_0033_0032
    ","
      K176055
      Manuscriptacq
      201010
    ","
      BIBC
      BRES
      Ms. 232
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDCastrum6
    ","
      Bandcover in poor condition
    ",,,,,,,,,,,,
00568nu  a2200181un 4500,22267160010001488,9914031280101488,20150107162857.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0041
    ","
      Devroe (Leuven)
      Manuscriptacq
      201012
    ","
      Seiger, Joannes Ferdinandus
      Handwritten
    ","
      BIBC
      BRES
      Ms. 241
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Seiger, Joannes Ferdinandus
      Sum joannis ferdinandi Seiger
      Handwritten
    ","
      BIBC
      CaaCDFalco4
    ","
      Bandcover in poor condition
    ",,,,,,,,,,
00575nx  a22001571i 4500,22317295290001488,9977402560101488,20141217150212.0,1010202u    8   4001uulat0000000,"
      Devroe (Leuven)
      Manuscriptacq
      201010
    ","
      van Cantelbeke, Henricus Joannes
      Handwritten
    ","
      BIBC
      BRES
      Ms. 204
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      van Cantelbeke, Henricus Joannes
      Ex Libris Henrici Joannis Van Cantelbeek
      Handwritten
    ","
      BIBC
      CaaCDLilium4/1
    ","
      2011: restoration by Myriam van Herck(Heverlee), book-restorator
    ","
      1990
    ",,,,,,,,,,
